Full Address;Longitude;Latitude;Zip;REC_TYPE;PIN;OVACLS;CLASS_DESCRIPTION;CURRENT_LAND;CURRENT_BUILDING;CURRENT_TOTAL;ESTIMATED_MARKET_VALUE;PRIOR_LAND;PRIOR_BUILDING;PRIOR_TOTAL;PPRIOR_LAND;PPRIOR_BUILDING;PPRIOR_TOTAL;PPRIOR_YEAR;TOWN;VOLUME;LOC;TAX_CODE;NEIGHBORHOOD;HOUSENO;DIR;STREET;SUFFIX;APT;CITY;RES_TYPE;BLDG_USE;APT_DESC;COMM_UNITS;EXT_DESC;FULL_BATH;HALF_BATH;BSMT_DESC;ATTIC_DESC;AC;FIREPLACE;GAR_DESC;AGE;BUILDING_SQ_FT;LAND_SQ_FT;BLDG_SF;UNITS_TOT;MULTI_SALE;DEED_TYPE;SALE_DATE;SALE_AMOUNT;APPCNT;APPEAL_A;APPEAL_A_STATUS;APPEAL_A_RESULT;APPEAL_A_REASON;APPEAL_A_PIN_RESULT;APPEAL_A_PROPAV;APPEAL_A_CURRAV;APPEAL_A_RESLTDATE;
1940 W 21ST PL, CHICAGO, IL;-87,6750609999999;41,8532863;60608;A-HD;17194220310000;211;Two to Six Apartments, Over 62 Years                                                         ;6.457;31.372;37.829;378.290;5.670;19.448;25.118;5.670;19.448;25.118;2013;77;596;CITY;77001;141;1940;W;21ST ;PL; ;CHICAGO;Three Story       ;Multi Family  ;2;0;Masonry    ;3;0;Craw and Formal Rec. Room; ;2;0; ;132;2337;3150;     ;        ;0;1;7/1/07;317000;0;0;                  ;;0;;0;0;     ;
1924 W 17TH ST, CHICAGO, IL;-87,6745798;41,8587755;60608;A-HD;17194000050000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;35.319;41.725;417.250;5.625;34.231;39.856;5.625;34.231;39.856;2013;77;596;CITY;77001;141;1924;W;17TH ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Full and Unfinished;None;2;0; ;127;3828;3125;     ;        ;0;1;5/1/01;180000;0;0;                  ;;0;;0;0;     ;
1903 W 19TH ST, CHICAGO, IL;-87,6744779999999;41,8556463999999;60608;A-HD;17194140200000;211;Two to Six Apartments, Over 62 Years                                                         ;12.812;27.364;40.176;401.760;11.250;35.579;46.829;11.250;35.579;46.829;2013;77;596;CITY;77001;141;1903;W;19TH ;ST; ;CHICAGO;Two Story        ;Multi Family  ;4;0;Masonry    ;4;0;Full and Unfinished;Partial and Living Area;1;0; ;130;7220;6250;     ;        ;0;1;11/1/99;185000;1;104423;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;50431;46428;10/19/15;
1921 W 21ST ST, CHICAGO, IL;-87,6744307999999;41,853842;60608;A-HD;17194220140000;211;Two to Six Apartments, Over 62 Years                                                         ;6.457;35.180;41.637;416.370;5.670;20.410;26.080;5.670;20.410;26.080;2013;77;596;CITY;77001;141;1921;W;21ST ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Frame     ;2;0;Full and Unfinished;None;1;0; ;137;1520;3150;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1922 W 21ST PL, CHICAGO, IL;-87,6744183999999;41,85331;60608;A-HD;17194220380000;211;Two to Six Apartments, Over 62 Years                                                         ;6.457;33.917;40.374;403.740;5.670;23.422;29.092;5.670;23.422;29.092;2013;77;596;CITY;77001;141;1922;W;21ST ;PL; ;CHICAGO;Two Story        ;Multi Family  ;4;0;Frame     ;4;0;Full and Unfinished; ;2;0; ;132;2054;3150;     ;        ;0;1;10/1/91;60000;1;79114;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;43608;40374;10/19/15;
1916 W 17TH ST, CHICAGO, IL;-87,6743053;41,858789;60608;A-HD;17194000080000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;43.055;49.461;494.610;5.625;35.430;41.055;5.625;35.430;41.055;2013;77;596;CITY;77001;141;1916;W;17TH ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Slab and Unfinished;None;2;0; ;137;2508;3125;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1917 W 21ST ST, CHICAGO, IL;-87,6741509999999;41,8538562;60608;A-HD;17194220170000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;6.457;35.581;42.038;420.380;5.670;25.890;31.560;5.670;25.890;31.560;2013;77;596;CITY;77001;141;1917;W;21ST ;ST;1;CHICAGO;Two Story        ;Multi Family  ;4;1;Masonry    ;3;0;Partial and Apartment; ;2;0; ;122;2640;3150;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1916 W CERMAK RD, CHICAGO, IL;-87,6741181999999;41,8523793999999;60608;A-HD;17194260420000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;6.457;36.311;42.768;427.680;5.670;37.054;42.724;5.670;37.054;42.724;2013;77;596;CITY;77001;141;1916;W;CERMAK ;RD; ;CHICAGO;Two Story        ;Multi Family  ;2;1;Masonry    ;2;0;Full and Unfinished;None;2;0; ;89;2420;3150;     ;        ;0;1;3/1/93;110000;0;0;                  ;;0;;0;0;     ;
1902 W CERMAK RD, CHICAGO, IL;-87,6737458;41,8524164;60608;A-HD;17194260460000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;12.915;23.105;36.020;360.200;11.340;16.746;28.086;11.340;16.746;28.086;2013;77;596;CITY;77001;141;1902;W;CERMAK ;RD; ;CHICAGO;Two Story        ;Multi Family  ;5;1;Masonry    ;5;0;Full and Unfinished;None;1;0;1 Car Detached;125;7512;6300;     ;        ;0;1;4/26/90;170000;0;0;                  ;;0;;0;0;     ;
1902 W CULLERTON ST, CHICAGO, IL;-87,6737404999999;41,8552168;60608;A-HD;17194140370000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;33.783;40.189;401.890;5.625;37.186;42.811;5.625;37.186;42.811;2013;77;596;CITY;77001;141;1902;W;CULLERTON ;ST; ;CHICAGO;One Story        ;Single Family ;5;0;Frame     ;1;0;Slab and Unfinished;None;2;0; ;134;1122;3125;     ;        ;0;0;     ;0;1;87589;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;42916;42916;10/19/15;
